Speaker,Text
Joe Rogan,"Is there a way around that? Like what if they figure out some sort of magnetic technology, like all those Bob Lazartype characters who were thinking that was a part of the UFO technology they were doing at Area 51? Remember,didn't they have some thoughts about magnetics? Nope."
Joe Rogan,No? Bullshit?
Elon Musk,Yes.
Joe Rogan,Really?
Elon Musk,"Yeah. There's a fundamental momentum exchange with the air. So, you must accelerate. There's like this -- There'sa sudden -- You have a mass, and you have gravitational acceleration. And mass times -- Your mass times gravitymust equal the mass of airflow times acceleration of that airflow to have a neutral force. MG=MA"
Joe Rogan,"So, it's impossible to go around-"
Elon Musk,And then you won't move.
Joe Rogan,Okay.
Elon Musk,"If MG is greater than MA, you will go down. And if MA is greater than MG, you will go up. That's how it works."
Joe Rogan,There's just no way around that?
Elon Musk,There is definitely no way around it.
Joe Rogan,There's no way to create some sort of a magnetic something or another that allows you to float?
Elon Musk,"Technically, yes. You could have a strong enough magnet, but that magnet would be so strong that you wouldcreate a lot of trouble."
Joe Rogan,It would just suck cars up into your car? Just pick up axles and do that?
Elon Musk,"I mean, it should have to repel off of either material on the ground or in a really nutty situation off of Earth'sgravitational field, and somehow make that incredibly light, but that magnet would cause so much destruction.You'd be better off with a helicopter."
Joe Rogan,"So, if there was some sort of magnet road, like you have two magnets, and they repel each other, if you had somesort of a magnet road that was below you, and you could travel on that magnet road, that would work?"
Elon Musk,"Yes. Yes, you can have a magnet road."
Joe Rogan,A magnet road. Is that too ridiculous?
Elon Musk,"No, it will work. So, you could do that."
Joe Rogan,"That's ridiculous too, right?"
Elon Musk,I would not recommend it.
Joe Rogan,There's a lot of things you don't recommend.
Elon Musk,"I would super not recommend that. Not good. Not wise, I think."
Joe Rogan,No?
Elon Musk,No.
Joe Rogan,Magnet roads?
Elon Musk,"No. No. No, definitely not. Definitely not. Yeah, it would cause a lot of trouble."
Joe Rogan,"So, you put some time and consideration into this other than -- You know, instead like my foolishly renderedthoughts. So, you think that tunnels are the way to do it?"
Elon Musk,"Oh, it will work, for sure."
Joe Rogan,That'll work?
Elon Musk,Yes.
Joe Rogan,"And these tunnels that you're building right now, these are basically just like test versions of this ultimate idea thatyou have?"
Elon Musk,"You know, it's just a hole in the ground."
Joe Rogan,Right. We played videos of it where your ideas-
Elon Musk,It's just a hole in the ground.
Joe Rogan,"... that you drop that hole in the ground. There's a sled on it, and the sled goes very fast, like 100 miles an hourplus."
Elon Musk,"Yeah, it can go real fast. You can go as fast as you want. And then, if you want to go long distances, you can justdraw the air out of the tunnel, make sure it's real straight."
Joe Rogan,Draw the air out of the tunnel?
Elon Musk,"Yeah, it's sort of vacuum tunnel because the -- And then, depending on how fast you want to go, you're going totake these wheels, or you could use air bearings depending upon the ambient pressure in the tunnel, or you couldmag lev it if you want to go super fast."
Joe Rogan,"So, magnet road?"
Elon Musk,"Yes, underground magnet roads."
Joe Rogan,Underground magnet roads?
Elon Musk,"Yeah. Otherwise, you're going to really create a lot of trouble because of those metal things."
Joe Rogan,"Oh. So, magnet road is the way to go, just underground."
Elon Musk,"If you want to go really fast underground, you would be mag lev in a vacuum tunnel."
Joe Rogan,Mag in a vacuum tunnel.
Elon Musk,Magnetic levitation in a vacuum tunnel launchers. Fun?
Joe Rogan,With rocket launchers?
Elon Musk,"No, I would not recommend putting any-"
Joe Rogan,Come on.
Elon Musk,... exhaust gas in the tunnel.
Joe Rogan,"Oh, okay. I see what you're saying because then the air will be gone."
Elon Musk,"Because, then, the air will pump it out."
Joe Rogan,"Right. You have to pump it out, and you probably have limited amount of air in the first place. Like how much canyou breathe? Do you have to pump oxygen into these cubicles, these tubes?"
Elon Musk,No. We have a pressurized pod. It'd be like a little tiny underground spaceship basically.
Joe Rogan,Like an airplane because you have air on airplanes. It's not getting new air in.
Elon Musk,It is.
Joe Rogan,It is?
Elon Musk,Yes.
Joe Rogan,You have like a little hole?
Elon Musk,"Yeah, they have a pump."
Joe Rogan,Really?
Elon Musk,Yeah.
Joe Rogan,"So, it gets it from the outside?"
Elon Musk,Yes.
Joe Rogan,"Wow, I didn't know that."
Elon Musk,"It's like the air's -- Airplanes have it easy because, essentially, you can -- they're pretty leaky, but-"
Joe Rogan,Jesus.
Elon Musk,"Yeah, but as long as the air pump is working at a distance. I mean, they have backup pumps, sort of like, you know,three pumps, or four pumps, or something. And then, there's like -- It exhausts through the outflow valve andthrough whatever seals are not sealing quite right. Usually, the door doesn't seal quite right on the plane. So,there's a bit of leakage around the door. But the pumps exceed the outflow rate. And then, that sets the pressure inthe cabin."
Joe Rogan,"Now, have you ever looked at planes and gone, ""I can fix this."""
Elon Musk,Yeah.
Joe Rogan,"""I just don't have the time."""
Elon Musk,I have a design for a plane.
Joe Rogan,You do?
Elon Musk,Yes.
Joe Rogan,A better design?
Elon Musk,"I mean, probably. I think it is, yes."
Joe Rogan,Who have you talked to about this?
Elon Musk,I've talked to friends.
Joe Rogan,Friends?
Elon Musk,Friends and-
Joe Rogan,I'm your friend.
Elon Musk,Girlfriends and-
Joe Rogan,You can tell me. What you got? What's going on?
Elon Musk,"Well, I mean, the exciting thing to do would be some sort of electric vertical takeoff and landing, supersonic jet ofsome kind."
Joe Rogan,Vertical takeoff and landing meaning no need for a runway. Just shoot up straight in the air.
Elon Musk,Yeah.
Joe Rogan,"How would you do that? I mean, they do that in some military aircraft, correct?"
Elon Musk,"Yes. The trick is that you have to transition to level flight. And then, the thing that you would use for vertical takeoffand landing is not suitable for high-speed flight."
Joe Rogan,"So, you have two different systems? Vertical takeoff is one system?"
Elon Musk,I've thought about this quite a lot. I've thought about this quite a lot.
Joe Rogan,Okay.
Elon Musk,"I guess, thinking about an electric plane is that you want to go as high as possible, but you need a certain energydensity in the battery pack because you have to overcome gravitational potential energy. Once you've overcomegravitational potential energy, and you're out at a high altitude, the energy use in cruise is very low. And then, youcan recapture a large part of the gravitational potential energy on the way down. So, you really don't need any kindof reserve fuel, if you will, because you have the energy of height, gravitational potential energy. This is a lot ofenergy."
Elon Musk,"So, once you can get high, like the way to think about a plane is it's a force balance. So, the force balance -- So, aplane that is not accelerating is a neutral force balance. You have the force of gravity, you have the lift force, youhave the wings. Then, you've got the force of the whatever thrusting device, so the propeller, or turbine, orwhatever it is. And you've got the resistance force of the air."
Elon Musk,"Now, the higher you go, the lower the air resistance is. Air density drops exponentially, but drag increases with thesquare, and exponential beats the square. The higher you go, the faster you will go for the same amount of energy.And at a certain altitude, you can go supersonic with less energy per mile, quite a lot less energy per mile than anaircraft at 35,000 feet because it's just a force balance."
Joe Rogan,I'm too stupid for this conversation.
Elon Musk,It makes sense though.
Joe Rogan,"No, I'm sure it does. Now, when you think about this new idea of of design, when you have this idea aboutimproving planes, are you going to bring this to somebody and check this one out?"
Elon Musk,"Well, I have a lot on my plate."
Joe Rogan,"Right. That's what I'm saying. I don't know how you do what you do now, but if you keep coming up with these. Butit's got to be hard to pawn this off on someone else either, like, ""Hey, go do a good job with this vertical takeoff andlanding system that I want to implement to regular planes.""."
Elon Musk,"The airplane, electric airplane isn't necessarily right now. Electric cars are important. We need-"
Joe Rogan,We need some sort of-
Elon Musk,"Solar energy is important. Stationary storage of energy is important. These things are much more important thancreating electric supersonic futile. Also, the plane's naturally -- You really want that gravitational energy density foran aircraft, and this improving over time. So, you know, it's important that we accelerate the transition tosustainable energy. That's why electric cars, it matters whether electric cars happen sooner or later. You know,we're really playing a crazy game here with the atmosphere or the oceans."
Joe Rogan,Yeah.
Elon Musk,"We're taking vast amounts of carbon from deep underground and putting this in the atmosphere. It's just crazy. Weshould not do this. It's very dangerous. So, we should accelerate the transition to sustainable energy. I mean, thebizarre thing is that, obviously, we're going to run out of oil in the long term. You know, we're going to -- There'sonly so much oil we can mine and burn. It's totally logical. We must have a sustainable energy transport andenergy infrastructure in the long term."
Elon Musk,"So, we know that's the endpoint. We know that. So, why run this crazy experiment where we take trillions of tons ofcarbon from underground and put it in the atmosphere and oceans? This is an insane experiment. It's the dumbestexperiment in human history. Why are we doing this? It's crazy."
Joe Rogan,"Do you think this is a product of momentum that we started off doing this when it was just a few engines, a fewhundred million gallons of fuel over the whole world, not that big of a deal? And then, slowly but surely over acentury, it got out of control. And now, it's not just our fuel, but it's also, I mean, fossil fuels are involved in so manydifferent electronics, so many different items that people buy. It's just this constant desire for fossil fuels, constantneed for oil-"
Elon Musk,Yeah.
Joe Rogan,Without consideration of the sustainability.
Elon Musk,"You know, the things like oil, oil, coal, gas, it's easy money."
Joe Rogan,Right.
Elon Musk,It's easy money. So-
Joe Rogan,"Have you heard about clean coal? The president's been tweeting about it. It's got to be real. CLEAN COAL, all caps.Did you see? He used all caps. Clean coal."
Elon Musk,"Well, you know, it's very difficult to put that CO2 back in the ground. It doesn't like being in solid form."
Joe Rogan,Have you thought about something like that?
Elon Musk,It takes a lot of energy.
Joe Rogan,"Like some sort of a filter, giant building-sized filter sucks carbon out in the atmosphere? Is that possible?"
Elon Musk,"No, no, it doesn't. It's not possible."
Joe Rogan,No?
Elon Musk,No.
Joe Rogan,No?
Elon Musk,"Nope, definitely not."
Joe Rogan,"So, we're fucked?"
Elon Musk,"No, we're not fucked. I mean, this is quite a complex question."
Joe Rogan,Right.
Elon Musk,"You know, we're really just -- When we -- The more carbon we take out of the ground and add to the atmosphere,and a lot of it gets permeated into the oceans, the more dangerous it is. Like I don't think right -- I think we're okayright now. We can probably even add some more but the momentum towards sustainable energy is too slow."
Elon Musk,"Like there's a vast base of industry, vast transportation system. Like there's Two and a half billion cars and trucksin the world. And the new car and truck production, if it was a 100% electric, that's only about 100 million per year.So, it would take -- If you could snap your fingers and instantly turn all cars and trucks electric, it would still take 25years to change the transport base to electric. It makes sense because how long does a car and truck last before itgoes into the junkyard and gets crushed? About 20 to 25 years."
Joe Rogan,"Is there a way to accelerate that process, like some sort of subsidies or some encouragement from the governmentfinancially?"
Elon Musk,"Well, the thing that is going on right now is that there is an inherent subsidy in any oil-burning device. Any powerplant or car is fundamentally consuming the carbon capacity of the oceans and atmosphere, or just the atmospherefor short. So, like, you can say, okay, there's a certain probability of something bad happening past a certaincarbon concentration in the atmosphere."
Elon Musk,"And so, there's some uncertain number where if we put too much carbon into the atmosphere, things overheat,oceans warm up, ice caps melt, ocean real estate becomes a lot less valuable, you know, if something'sunderwater, but it's not clear what that number is. But, definitely, scientists, it's really quite -- The scientificconsensus is overwhelming. Overwhelming."
Elon Musk,"I mean, I don't know any serious scientist, actually zero, literally zero who don't think, you know, that we have quitea serious climate risk that we're facing. And so, that's fundamentally a subsidy occurring with every fossil fuelburning thing, power plants, aircraft, car frankly even rockets. I mean, rockets use up -- you know, they burn. Theyburn fuel. But there's just -- you know, with rockets, there's just no other way to get to orbit unfortunately. So, it'sthe only way."
Elon Musk,"But with cars, there's definitely a better way with electric cars. And to generate the energy, do so withphotovoltaics because we've got a giant nuclear reactor in the sky called the sun. It's great. It sort of shows upevery day, very reliable. So, if you can generate energy from solar panels, store up with batteries, you can haveenergy 24 hours a day."
Elon Musk,"And then, you know, you can send to the polls or in the air to the north with, you know, high voltage lines. Most ofthe northern parts of the world tend to have a lot of hydropower as well. But, anyway, all fossil fuel-powered thingshave an inherent subsidy, which is their consumption of the carbon capacity of the atmosphere and oceans."
Elon Musk,"So, people tend to think like why should electric vehicles have a subsidy, but they're not taking into account that allfossil fuel-burning vehicles fundamentally are subsidized by the cost, the environmental cost to earth, but nobody'spaying for it. We are going to pay for it, obviously. In the future, we'll pay for it. It's just not paid for now."
Joe Rogan,"And what is the bottleneck in regards to electric cars, and trucks, and things like that? Is it battery capacity?"
Elon Musk,"Yeah. You got to scale up production. You got to make the car compelling, make it better than gasoline or dieselcars."
Joe Rogan,"Make it more efficient in terms of, like, the distance it can travel? You're going to be fueling-"
Elon Musk,"Yeah, you're going to be able to go far enough, recharge fast."
Joe Rogan,"And your Roadster, you're anticipating 600 miles. Is that correct?"
Elon Musk,"Yeah, yeah."
Joe Rogan,What is it? What is that?
Elon Musk,"Yeah, 600 miles."
Joe Rogan,Is that right now? Like have you driven one 600 miles now?
Elon Musk,"No. We could totally make one right now that would do 600 miles, but the thing is too expensive. So, like the car'sgot to-"
Joe Rogan,How much more so?
Elon Musk,"Well, you know, just have a chartered kilowatt hour battery pack, and you can go 600 miles as long as you're-"
Joe Rogan,"Right, versus what do you have now?"
Elon Musk,330-mile range. That's plenty for most people.
Joe Rogan,330-mile range. And what is that mean in terms of kilowatts?
Elon Musk,"Well, that would be for Model S, 100-kilowatt hour pack will do about 330 miles. Maybe 335 because some peoplehave hyper mild it to 500 miles per mile."
Joe Rogan,Hyper mild it. What does that mean?
Elon Musk,"Yeah, just like go on-"
Joe Rogan,45 miles an hour or something?
Elon Musk,"Yeah, like 30 miles an hour or so. It's like on level ground with -- You pump the tires up really well, and go on asmooth surface, and you can go for a long time. But, you know, like definitely comfortably do 300 miles."
Joe Rogan,Is there any-
Elon Musk,"This is fine for most people. Usually, 200 or 250 miles is fine. 300 miles is -- You don't even think about it really."
Joe Rogan,"Is there any possibility that you could use solar power, solar-powered one day, especially in Los Angeles? I mean,as you said about that giant nuclear reactor, a million times bigger than Earth just floating in the sky. Is it possiblethat one day, you'll be able to just power all these cars just on solar power? I mean, we don't ever have cloudydays if we do just three of them."
Elon Musk,"Well, the surface area of a car is without making the car look really blocky or having some-"
Joe Rogan,Like a G wagon.
Elon Musk,"Yeah, and just like if it looked a lot of surface area, or like maybe like solar panels fold out, or something-"
Joe Rogan,Like your E class. That's what it needed.
Elon Musk,That E type?
Joe Rogan,"Yeah, the Jaguar E type with a giant long hood, that could be a giant solar panel."
Elon Musk,"Well, at the beginning of Tesla, I did want to have this like unfolding solar panel thing. They'd press a button, and itwould just like unfold these solar panels, and like charge/recharge your car in the parking lot. Yeah, we could dothat, but I think it's probably better to just put that on your roof."
Joe Rogan,"Right, yeah."
Elon Musk,"And then, it's going to -- It should be facing the sun all the time because like-"
Joe Rogan,What car have that on the roof?
Elon Musk,"Otherwise, your car could be in the shade. You know, it could be in the shade, it could be in a garage, or somethinglike that."
Joe Rogan,Right.
Elon Musk,Yeah.
Joe Rogan,"Didn't the Fisker have that on the roof? The Fisker Karma New Generation for -- I believe, it was only for the radio.Is that correct?"
Elon Musk,"Yeah, I mean, but I think it could like recharge like two miles a day or something."
Joe Rogan,Did you laugh when they started blowing up when they get hit with water? Do you remember what happened?
Elon Musk,They got what?
Joe Rogan,"Yeah, they had a dealership or-"
Elon Musk,Oh yeah.
Joe Rogan,The Fisker Karmas were parked-
Elon Musk,Is that like that with a flood in Jersey?
Joe Rogan,"Yes, yes."
Elon Musk,Yeah.
Joe Rogan,"When the hurricane came in, they got overwhelmed with water, and they all started exploding. There's a fuckinggreat video of it. Did you watch the video?"
Elon Musk,"I didn't watch the video, but I did see -- It's like some picture of the aftermath."
Joe Rogan,"If I was you, I'd be naked, lubed up, watch that video, laugh my ass off. They all blow up. They got wet, and theyblew up. That's not good."
Elon Musk,"Yeah, we made our battery waterproof, so that doesn't happen. Actually-"
Joe Rogan,Smart move.
Elon Musk,"Yeah, there was a guy in Kazakhstan that -- I think it was Kazakhstan that he just boated through a tunnel, anunderwater tunnel, like a flooded tunnel, and just turned the wheels to steer, and pressed the accelerator, and itjust floated through the tunnel."
Joe Rogan,Wow.
Elon Musk,"And he steered around the other cars. I mean, like-"
Joe Rogan,That's amazing.
Elon Musk,It's on the internet.
Joe Rogan,"What happens if your car gets a little sideways, like if you're driving in snow? Like what if you're driving, if you'reautopilot is on, and you're in like Denver, and it snows out, and your car gets a little sideways, does it correct itself?Does that-"
Elon Musk,Oh yeah. It's got great traction control.
Joe Rogan,"But does it know how to like correct? You know how, like, when your Ascend-"
Elon Musk,"Oh yeah, sure."
Joe Rogan,"... kicks, you know how to counter steer?"
Elon Musk,"Oh, yeah. No, it's really good."
Joe Rogan,It knows how to do it?
Elon Musk,Yeah.
Joe Rogan,Whoa.
Elon Musk,It's pretty crazy.
Joe Rogan,That's pretty crazy.
Elon Musk,Yeah.
Joe Rogan,"So, like if you're going sideways, it knows how to correct itself?"
Elon Musk,It generally won't go sideways.
Joe Rogan,It won't?
Elon Musk,No.
Joe Rogan,Why not?
Elon Musk,It will correct itself before it goes sideways.
Joe Rogan,Even in black eyes?
Elon Musk,"Yeah. There's videos where you could see the car, the traction-"
Joe Rogan,Not alone.
Elon Musk,Traction control system is very good. It makes you feel like Superman. It's great. You like feel like you can -- Likeit's -- It will make you feel like this incredible driver.
Joe Rogan,I believe it.
Elon Musk,Yeah.
Joe Rogan,"Now, how do you program that?"
Elon Musk,We do have testing on like an ice lake in Sweden.
Joe Rogan,Oh really?
Elon Musk,"Yeah. And like Norway, and Canada, and a few other places."
Joe Rogan,Porsche does a lot of that too? They do-
Elon Musk,They did it as well?
Joe Rogan,"They do a lot of their -- They do some of their driver training school on these frozen surfaces. So, you're just -- Thecar is going sideways whether you like it or not. And you have to learn how to slide into corners, and how do wetest."
Elon Musk,Yeah. Electric cars have really great traction control because the reaction time is so fast.
Joe Rogan,Right.
Elon Musk,"Sort of like where you're gassing a car, you've got a lot of latency. It takes a while for the engine to react, but forelectric motors, incredibly precise. That's why you're like -- You imagine like if you had like a printer or something,you wouldn't have a gasoline engine printer. That would be pretty weird or like a surgical device. It's going to be anelectric motor on the surgical device on the printer. Gasoline engine's going to be just chugging away. It's not goingto have the reaction time."
Elon Musk,"But to an electric motor, it's operating at the most second level. So, it can turn on and off traction within, like,inches of getting on the onus. Like, let's say, you're driving on a patch of ice, it will turn traction off, and then turn iton a couple inches right after the ice, like a little patch of ice because in the frame of the electric motor, you'removing incredibly slowly. You're like a -- You're a snail. You're just moving so slowly because it can see at athousand frames a second. And so, it's like, say, one Mississippi. It just thought about it things a thousand times."
Joe Rogan,"So, it's to realize that your wheels are not getting traction. It understands there's some slippery surface that you'redriving on."
Elon Musk,Yes.
Joe Rogan,And it makes adjustments in real time.
Elon Musk,"Yes, in milliseconds."
Joe Rogan,That would be so much safer than a regular car.
Elon Musk,"Yes, it is."
Joe Rogan,"Just that alone, for loved ones, you'd want them to be driving your car."
Elon Musk,Yes. The-
Joe Rogan,"Or on board. Fuck motors. Dude, fuck regular motors."
Elon Musk,"That S, X, and 3 have the lowest probability of injury of any cars ever tested by the US government."
Joe Rogan,Whoa.
Elon Musk,"So, this -- Yeah, but it's pretty fun. It's pretty crazy. Like we -- You know, people still sue us like they'll have likesome accident at 60 miles an hour where they'd like twisted an ankle, and they slipped. Like they will be dead inanother car, they still sue us."
Joe Rogan,"But that's to be expected, isn't it?"
Elon Musk,It is to be expected.
Joe Rogan,"Do you take that into account with like the same sort of fatalistic, you know, undertones to sort of just go, ""You'vegot to just let it go. This is what people do."""
Elon Musk,I tell you I've got-
Joe Rogan,This is what it is.
Elon Musk,"... Quite a lot of respect for the justice system. Judges are very smart. And they see -- they've -- as like I haven't. Sofar, I've found judges to be very good at justice because like what -- and juries are good too. Like, they're actuallyquite good. You know, people -- You know, you read about like occasional errors in the justice system. Let me tellyou, most the time, they're very good."
Elon Musk,"And like the other guy mentioned who fell asleep in the car, and he rode over a cyclist. And that was whatencouraged me to get autopilot out as soon as possible. That guy sued us."
Joe Rogan,He sued you for falling asleep?
Elon Musk,Yes. I'm not kidding. He blamed it on the new car smell.
Joe Rogan,What?
Elon Musk,Yes.
Joe Rogan,He blamed him falling asleep on your new car smell. Does someone that's a lawyer-
Elon Musk,This is a real thing that happened.
Joe Rogan,Someone that's a lawyer that thought that through in front of his laptop before he wrote that up.
Elon Musk,"Yes, he got a lawyer, and he sued us, and the judge was like, ""This is crazy. Stop bothering me. No."""
Joe Rogan,Thank God.
Elon Musk,Yes.
Joe Rogan,Thank God. Thank God there's a judge out there with a brain.
Elon Musk,"I tell you, judges are very good."
Joe Rogan,Some of them.
Elon Musk,I have a lot of-
Joe Rogan,What about that judge that sent all these boys up the river in Pennsylvania who was selling those kids out? Youknow about that story?
Elon Musk,Nope.
Joe Rogan,Judge was selling young boys to prisons. He was like literally-
Elon Musk,What?
Joe Rogan,"Yeah, literally, under bribes for -- He was-"
Elon Musk,Was this an elected judge or-
Joe Rogan,He was-
Elon Musk,Because sometimes you have a judge that's like actually a politician.
Joe Rogan,"No, he was a elected judge. This is a very famous story."
Elon Musk,Okay.
Joe Rogan,"He's in jail right now, I think, for the rest of his life. And he put away -- He would take like a young boy who woulddo something like steal something from a store, and he would put them in detention for, you know, five years.Something ridiculous egregious. And they investigated his history. And they found out that he was literally beingpaid off. Was it by private prisons? Is that what the the deal was? There was some sort of -- But, anyway, this judgeis-"
Jaime,"Actually, two judges."
Joe Rogan,Two judges?
Jaime,"Two judges. Kids for cash scandals, let's call them."
Joe Rogan,Yeah.
Jaime,"2008, yeah. Common pleas judges. So, I think they are elected."
Joe Rogan,And who was paying them? Someone -- It proven to the point where they're in jail now that someone was payingthem to put more asses in the seats in these private prisons.
Jaime,It's like a million-dollar payment to put them in a youth center builder.
Joe Rogan,A million-dollar payment?
Jaime,Yeah.
Elon Musk,I do think these private prisons thing is-
Joe Rogan,Someone business.
Elon Musk,... creating a bad incentive.
Joe Rogan,It's dark.
Elon Musk,"Right, yes. But, I mean, that judge is in prison."
Joe Rogan,Thank God.
Elon Musk,"Yes, but for people who think perhaps the justice system consists entirely of judges like that, I want to assure you-"
Joe Rogan,No.
Elon Musk,... this is not the case. The vast majority of judges are very good.
Joe Rogan,I agree.
Elon Musk,"And they care about justice, and they could have made a lot more money if they wanted to be a trial lawyer. Andinstead, they cared about justice, and they made less money because they care about justice. And that's whythey're judges."
Joe Rogan,I feel that same way about police officers.
Elon Musk,Yes.
Joe Rogan,"I feel like there's so many interactions with so many different people with police officers that the very few thatstand out that are horrific, we tend to look at that like, ""This is evidence that police are all corrupt."" And I thinkthat's crazy."
Elon Musk,No. Most police are very honest.
Joe Rogan,Yes.
Elon Musk,And like the military-
Joe Rogan,Like they have an insanely-
Elon Musk,... personnel that I know-
Joe Rogan,Yes.
Elon Musk,"... are very honorable, ethical people."
Joe Rogan,Yes.
Elon Musk,And much more honorable and ethical than the average person. That's my impression.
Joe Rogan,I agree. That's my impression as well.
Elon Musk,"And that's not to suggest that we be complacent and assume everyone is honest and ethical. And, obviously, ifsomebody is given a trusted place in society, such as being a police officer or a judge, and they are corrupt, thenwe must be extra vigilant against such situations-"
Joe Rogan,Yes.
Elon Musk,... and take action. But we should not think that this is somehow broadly descriptive of people in that profession.
Joe Rogan,"I couldn't agree more. I think there's also an issue with one of the things that happens with police officers,prosecutors, and anyone that's trying to convict someone or arrest someone is that it becomes a game. And ingames, people want to win."
Elon Musk,Yeah.
Joe Rogan,"And sometimes, people cheat."
Elon Musk,"Yes, yes. I mean, you know, if you're a prosecutor, you should not always want to win. There are times when youshould like, ""Okay. I just should not want to win this case."" And then, you know, like just pass on that case.Sometimes, people want to win too much. That is true."
Elon Musk,"I think, also, it becomes tough. If you're like a district attorney, you know, you tend to sort of see a lot of criminals.And then, your view of the world can get negatively."
Joe Rogan,Yes.
Elon Musk,"You know, have a negative -- You know, you can have a negative view of the world because, you know, you're justinteracting with a lot of criminals. But, actually, most of society is not to consist of criminals."
Joe Rogan,Right.
Elon Musk,"And I, actually, had this conversation at dinner several years ago with, I guess, it's Tony. I was like, ""Man, it must,sometimes, seem pretty, pretty dark because, you know, man, there's some terrible human beings out there. Andhe was like, ""Yup."" And he was like dealing with some case, which consisted of a couple of old ladies that would runpeople over somehow for insurance money. It was rough. Like, ""Wow, that's pretty rough."" It's like hard to maintainfaith in humanity if you're a district attorney, but, you know, it's only a few percent of society that are actually bad."
Elon Musk,"And then if you go to the worst, say 0.1% of society are the worst, one in a thousand, one in a million, you know.Like how bad is the millionth worst person in the United States? Pretty damn bad. Like damn evil."
Joe Rogan,"Yeah,"
Elon Musk,"Like the millionth, well, one in a million of evil is so evil, people cannot even conceive of it. But there's 330 millionpeople in the United States. So, that's 330 people out there somewhere. But by the same token, there's also 330people who are incredible angels and unbelievably good human beings."
Joe Rogan,Yeah.
Elon Musk,On the other side.
Joe Rogan,"But because of our fear of danger, we tend to -- our thoughts tend to gravitate towards the worst-case scenario."
Elon Musk,Yes.
Joe Rogan,"And we want to frame that. And that's one of the real problems with prejudice, whether it's prejudice towardsdifferent minorities, or prejudice towards police officers, or anything, it's like we want to look at the worst-casescenario and say, ""This is an example of what this is all about.""."
Joe Rogan,"And you see that even with people, how they frame genders. Some men frame women like that. They get ripped offby a few women, and they said, ""All women are evil."" Some women get fucked over by a few men, ""All men areshit."" And this is very toxic."
Elon Musk,It is.
Joe Rogan,"And it's also -- It's a very unbalanced way of viewing the world, and it's very emotionally-based, and it's based onyour own experience, your own anecdotal experience. And it can be very influential to the people around you, andit's just it's a dangerous way. It's a dangerous thought process and pattern to promote."
Elon Musk,"It is. It is a very dangerous, but I really think, you know, people should give other people the benefit of the doubtand assume that they are good until proven otherwise. And, I think, really, most people are actually pretty goodpeople. Nobody's perfect."
Joe Rogan,They have to be.
Elon Musk,Yes.
Joe Rogan,If you think of vast numbers of us that are just interacting with each other constantly-
Elon Musk,Yeah.
Joe Rogan,... we have to be better than we think we are.
Elon Musk,"Yes. I mean, like-"
Joe Rogan,There's no other way.
Elon Musk,"I mean, here are these weapons but how many times, like, nobody's presumably try to murder you and you're-"
Joe Rogan,Nobody yet.
Elon Musk,"Yes, nobody. It's like the sword right there."
Joe Rogan,"Not the flamethrower, fake flamethrower here-"
Elon Musk,Exactly.
Joe Rogan,"It's not a flamethrower. Now, we've got a real problem, I'm going to put it on that side to him and leave it for theguests."
Elon Musk,Yeah.
Joe Rogan,"I'm like, ""Look, man, if I say something that fucked up, it's right there."""
Elon Musk,It will liven things up for sure. It's guaranteed to make any party better.
Joe Rogan,"Yeah. Well, that's -- I mean, that's the armed civilization theory, right. An armed community is safe and politecommunity."
Elon Musk,"You know, in Texas, it's kind of true. Yeah. I mean-"
Joe Rogan,"People in Texas are super polite. Therefore, they've got a gun."
Elon Musk,Yes. Don't make somebody angry.
Joe Rogan,Yeah.
Elon Musk,We don't know what's going to happen.
Joe Rogan,"Yeah, it's a good move."
Elon Musk,Yeah.
Joe Rogan,"Piss people off, and everybody are going to have a gun."
Elon Musk,Yeah.
Joe Rogan,You're off to just let that guy get in your lane.
Elon Musk,"Yeah, yeah. You know, we got a big test site in Central Texas near Waco."
Joe Rogan,Oh yeah? Beautiful.
Elon Musk,"Yes, Space X in McGregor. It's about 15 minutes away from Waco."
Joe Rogan,That's close to where Ted Nugent lives.
Elon Musk,It is?
Joe Rogan,Shout out to Ted Nugent.
Elon Musk,"Okay, cool."
Joe Rogan,Yeah.
Elon Musk,"Yeah, there's -- You know, we have lots of fire, and loud explosions, and things, and people-"
Joe Rogan,I bet.
Elon Musk,... they are cool with it.
Joe Rogan,They don't give a fuck out there.
Elon Musk,They're very supportive.
Joe Rogan,"Yeah. You can buy fireworks where, you know, your kids go to school."
Elon Musk,"Yeah. You know, it's dangerous."
Joe Rogan,"Yeah, but it's free."
Elon Musk,It's free.
Joe Rogan,There's something about Texas-
Elon Musk,Exactly.
Joe Rogan,"... that's very enticing because of that. It is dangerous, but it's also free."
Elon Musk,Right.
Joe Rogan,Yeah.
Elon Musk,Yeah. I kind of like Texas actually.
Joe Rogan,"I prefer it over places that are more restrictive but more liberal because you could always be liberal. Like justbecause things are free and just because you have a certain amount of, you know, right wing type characters, itdoesn't mean you have to be that way, you know."
Elon Musk,No.
Joe Rogan,"And, honestly, there's a lot of those people that are pretty fucking open minded and let you do whatever you wantto do."
Elon Musk,Right.
Joe Rogan,As long as you don't bother them.
Elon Musk,"Yeah, exactly."
Joe Rogan,"That's my hope right now with the way we're able to communicate with each other today and how radicallydifferent it is than generations past because we all -- Just, the dust settles. We all realize, like what you're sayingthat most people are good."
Jaime,Most people are good.
